,0,1,2,3,4,5
142,0,0,1,0,0,0
143,1,0,0,0,0,1
144,1,0,0,0,0,1
145,1,1,0,0,0,0
146,0,1,0,0,0,0
147,1,0,0,0,0,0
148,1,0,0,0,0,1
149,0,0,0,0,0,1
150,0,1,0,0,0,0
151,1,0,0,0,0,0
152,0,0,0,1,1,0
153,1,0,0,0,0,1
154,1,0,0,0,0,1
155,0,1,1,1,0,0
156,0,0,1,0,1,0
157,0,0,0,1,1,0
158,0,0,0,0,0,1
159,0,0,1,1,1,0
160,0,0,0,0,0,1
161,0,0,0,0,0,1
162,0,1,0,0,0,0
163,0,0,1,0,0,0
164,1,0,0,0,0,1
165,0,0,0,0,0,1
166,0,0,1,0,1,0
167,0,0,0,0,0,1
168,0,0,1,1,1,0
169,0,0,0,0,0,1
170,1,0,0,0,0,0
171,0,0,1,0,1,0
172,0,0,1,1,1,0
173,0,0,0,0,0,1
174,0,0,0,0,0,1
175,1,0,0,0,0,1
176,0,0,0,0,0,1
177,0,1,0,0,0,0
178,1,0,0,0,0,0
179,0,1,1,0,0,0
180,1,0,0,0,0,1
181,0,0,1,0,0,0
182,0,1,1,0,0,0
183,0,0,0,0,0,1
184,1,0,0,0,0,0
185,0,1,0,0,0,0
186,0,0,0,1,1,0
187,0,0,1,1,0,0
188,0,1,1,0,0,0
189,0,0,1,0,0,0
190,0,1,0,0,0,0
191,0,1,1,0,0,0
192,1,0,0,0,0,1
193,0,0,1,0,0,0
194,0,0,1,1,0,0
195,0,1,1,0,0,0
196,1,0,0,0,0,1
197,1,0,0,0,0,1
198,0,1,0,0,0,0
199,0,0,0,0,1,0
200,1,1,1,0,0,0
201,1,0,0,0,0,0
202,0,0,1,0,1,0
203,0,0,0,0,0,1
204,0,0,1,0,1,0
205,0,0,0,0,0,1
206,1,1,0,0,0,0
207,0,0,0,1,0,0
208,0,0,0,0,0,1
209,0,0,1,1,1,0
210,0,1,0,0,0,0
211,1,0,0,0,0,1
212,1,0,0,0,0,1
213,0,0,0,0,0,1
214,1,0,0,0,0,0
215,0,0,0,0,1,0
216,0,0,1,1,1,0
217,1,0,0,0,0,1
218,0,0,0,1,1,0
219,0,0,0,0,0,1
220,1,0,0,0,0,1
221,0,0,0,0,0,1
222,0,1,1,0,0,0
223,0,0,1,0,0,0
224,0,1,1,1,0,0
225,0,0,0,0,0,1
226,0,0,0,0,0,1
227,1,0,0,0,0,1
228,0,1,1,0,0,0
229,1,0,0,0,0,0
230,0,0,1,1,1,0
231,1,0,0,0,0,0
232,0,1,1,0,0,0
233,1,1,0,0,0,0
234,0,0,1,1,0,0
235,0,0,1,1,1,0
236,0,1,1,0,0,0
237,0,0,0,0,0,1
238,0,1,0,0,0,0
239,0,1,0,0,0,0
240,0,1,1,0,0,0
241,0,0,0,0,0,1
242,1,1,0,0,0,0
243,0,0,1,1,1,0
244,0,0,1,1,0,0
245,1,0,0,0,0,1
246,1,0,0,0,0,1
247,1,1,0,0,0,0
248,0,1,0,0,0,0
249,0,1,1,0,0,0
250,1,1,1,0,0,0
251,0,0,1,0,0,0
252,0,0,0,1,0,0
253,0,0,1,1,1,0
254,1,1,1,0,0,0
255,0,1,0,1,0,0
256,0,0,1,0,1,0
257,1,0,0,0,0,1
258,1,1,0,0,0,0
259,1,0,0,0,0,1
260,1,1,0,0,0,0
261,0,0,0,0,0,1
262,1,0,0,0,0,1
263,1,1,0,0,0,0
264,1,0,0,0,0,1
265,1,0,0,0,0,1
266,0,1,1,1,0,0
267,1,0,0,0,0,1
268,0,0,1,0,1,0
269,0,0,1,1,0,0
270,0,0,0,0,1,1
271,0,1,1,0,0,0
272,0,0,1,1,0,0
273,0,0,0,0,0,1
274,0,0,1,1,1,0
275,1,0,0,0,0,0
276,0,1,1,0,0,0
277,0,0,1,1,1,0
278,1,0,0,0,0,1
279,1,0,0,0,0,1
280,0,0,1,0,1,0
281,0,0,0,0,0,1
282,1,1,0,0,0,0
283,1,0,1,0,0,0
284,1,0,0,0,0,1
285,0,0,1,1,1,0
286,0,0,1,1,0,0
287,0,0,1,0,0,0
288,0,0,0,0,0,1
289,0,0,0,0,1,1
290,0,0,1,0,1,0
291,0,0,1,1,1,0
292,1,0,0,0,0,1
293,0,0,0,0,0,1
294,0,0,0,0,1,0
295,0,0,1,1,0,1
296,1,0,0,0,0,1
297,1,0,0,0,1,0
298,0,0,1,0,0,0
299,0,0,0,1,1,0
300,0,0,0,1,1,0
301,0,0,1,1,1,0
302,0,0,0,1,1,0
303,1,0,0,0,1,0
304,1,0,0,0,0,1
305,1,1,0,0,0,0
306,1,0,0,0,1,0
307,0,0,1,1,0,0
308,0,1,1,0,0,0
309,0,1,1,0,0,0
310,0,0,1,1,1,0
311,1,0,0,0,0,1
312,0,0,1,0,0,0
313,0,0,0,0,0,1
314,0,0,1,1,0,0
315,0,0,1,1,1,0
316,0,0,0,1,0,0
317,0,0,1,1,0,0
318,0,0,1,1,1,0
319,1,0,0,0,0,1
320,0,0,1,1,0,0
321,0,0,1,1,0,0
322,0,0,1,0,0,0
323,0,1,1,0,0,0
324,0,0,0,1,1,0
325,0,0,0,1,1,0
326,1,1,0,0,0,0
327,0,1,1,0,0,0
328,1,0,0,0,0,0
329,1,0,0,0,0,1
330,0,0,1,0,0,0
331,0,0,0,0,0,1
332,0,1,1,0,0,0
333,0,0,1,1,1,0
334,0,1,1,0,0,0
335,0,0,1,1,0,0
336,0,0,0,1,0,0
337,1,1,0,0,0,0
338,0,0,1,0,0,0
339,0,0,0,0,0,1
340,1,0,0,0,0,1
341,0,1,0,0,0,0
342,0,0,1,1,1,0
343,0,0,0,0,1,0
344,0,1,1,0,0,0
345,0,0,1,1,1,0
346,0,0,1,0,0,0
347,1,0,0,0,0,0
348,0,0,1,1,0,0
349,0,0,1,1,0,0
350,0,0,0,1,1,0
351,0,0,0,1,1,0
352,0,0,0,0,0,1
353,0,0,0,0,0,1
354,0,0,1,0,1,0
355,0,1,0,0,0,0
356,1,1,1,0,0,0
357,1,1,1,0,0,0
358,0,0,0,1,1,0
359,1,1,0,0,0,0
360,0,0,1,1,1,0
361,0,0,1,1,1,0
362,0,0,1,1,0,0
363,0,1,0,0,0,1
364,1,1,1,0,0,0
365,1,0,0,0,0,1
366,1,1,0,0,0,0
367,1,1,0,0,0,1
368,0,1,1,0,0,0
369,0,0,1,0,0,0
370,0,0,0,1,1,0
371,1,0,0,0,0,0
372,0,1,1,1,0,0
373,1,0,0,0,0,1
374,1,0,0,0,0,0
375,0,1,1,0,0,0
376,0,0,1,0,1,0
377,0,0,0,1,1,1
378,0,0,1,0,0,0
379,1,0,0,0,0,1
380,1,0,0,0,0,0
381,0,1,1,0,0,0
382,0,1,0,0,0,0
383,0,0,1,1,1,0
384,0,0,0,1,1,0
385,0,0,1,1,1,0
386,0,0,0,0,0,1
387,1,0,0,0,0,1
388,0,1,1,0,0,0
389,0,0,0,1,1,0
390,0,1,1,0,0,0
